epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,212.835,1.08479,2.94228,0.01405,0.6579,0.39114,0.43244,0.32329,0.94959,1.88555,0.01706,0.00998299,0.00332766,0.00998299,0.00332766,0.00998299,0.00332766,0.00998299,0.00332766
2,394.776,1.18855,1.62128,0.01546,0.31337,0.27489,0.26538,0.18412,1.13598,1.99509,0.02153,0.0197852,0.00659505,0.0197852,0.00659505,0.0197852,0.00659505,0.0197852,0.00659505
3,565.951,1.36738,1.89936,0.01876,0.38041,0.23275,0.20854,0.12886,1.51543,2.6594,0.03255,0.0293893,0.00979644,0.0293893,0.00979644,0.0293893,0.00979644,0.0293893,0.00979644
4,733.239,1.47447,2.03609,0.02072,0.65572,0.17736,0.20162,0.12992,1.51091,2.70247,0.03214,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,900.556,1.42986,1.8949,0.01987,0.54274,0.33558,0.35238,0.24274,1.33391,2.28272,0.02597,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1067.44,1.39929,1.81119,0.01954,0.65258,0.25842,0.30673,0.20556,1.27836,2.10661,0.02564,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1234.3,1.38331,1.74231,0.01892,0.62055,0.34458,0.35945,0.25303,1.29967,2.42236,0.02545,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1401.37,1.35849,1.67083,0.01852,0.67664,0.38527,0.37819,0.25616,1.24749,2.08724,0.02385,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1568.51,1.33618,1.6183,0.018,0.49376,0.33271,0.33635,0.24128,1.24856,2.17692,0.02378,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1735.63,1.32289,1.5377,0.01734,0.60791,0.33853,0.37189,0.25008,1.2894,2.19029,0.02578,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1902.71,1.30723,1.5455,0.01765,0.65274,0.36549,0.42143,0.30983,1.19042,2.00571,0.02218,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2070.23,1.32209,1.52229,0.01658,0.58195,0.38753,0.41017,0.30464,1.13709,2.11056,0.02064,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2237.53,1.26697,1.4381,0.01669,0.56842,0.38119,0.38991,0.27947,1.16131,2.05103,0.02165,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2404.83,1.23742,1.40036,0.01616,0.74387,0.3253,0.43265,0.31849,1.10696,2.00692,0.01987,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2571.68,1.24265,1.38434,0.01609,0.67185,0.42086,0.47569,0.34544,1.19653,1.95976,0.02192,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2738.65,1.21299,1.33563,0.01597,0.59752,0.40928,0.44435,0.3288,1.11781,1.85128,0.02002,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2905.74,1.22006,1.33069,0.01562,0.73325,0.38278,0.45536,0.3292,1.14316,1.91576,0.02083,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3073.02,1.20177,1.29352,0.01549,0.65124,0.38421,0.44009,0.30959,1.11025,1.92872,0.02078,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3239.9,1.20533,1.26335,0.0152,0.64188,0.4343,0.46652,0.34668,1.11659,1.88446,0.02007,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3406.78,1.18449,1.22362,0.01519,0.66435,0.41827,0.47852,0.36133,1.08684,1.8288,0.01896,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3573.73,1.17947,1.21961,0.01489,0.59887,0.45345,0.45502,0.34185,1.0785,1.92153,0.01863,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3740.27,1.14425,1.18407,0.01458,0.70015,0.36703,0.45368,0.33563,1.10043,1.7961,0.01971,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3907.37,1.1544,1.17164,0.01457,0.54739,0.40913,0.48126,0.3535,1.11532,1.81881,0.02005,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4074.39,1.15056,1.16018,0.01433,0.62847,0.4094,0.44261,0.32851,1.08193,1.74231,0.01889,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4240.96,1.14341,1.13613,0.01427,0.73885,0.38739,0.43827,0.33349,1.09121,2.00027,0.01919,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4408.07,1.14086,1.14866,0.01416,0.70777,0.4194,0.49993,0.38961,1.05267,1.768,0.01854,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4575.03,1.13965,1.12137,0.01384,0.6782,0.40277,0.44736,0.34764,1.05576,1.68707,0.01935,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4741.69,1.10866,1.0985,0.01371,0.72624,0.36451,0.4703,0.3528,1.06911,1.75119,0.01934,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4908.45,1.1148,1.09748,0.01377,0.5955,0.48446,0.51804,0.39273,0.98926,1.83207,0.01693,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5075.62,1.11229,1.06304,0.01338,0.65665,0.4327,0.48515,0.36736,1.04131,1.61392,0.01787,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5242.43,1.08941,1.02652,0.01329,0.64532,0.44454,0.48834,0.3838,0.99871,1.68417,0.01748,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5409.06,1.09235,1.02813,0.01331,0.70057,0.4221,0.46607,0.35303,1.02357,1.77957,0.01818,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5575.53,1.10454,1.03767,0.01347,0.63118,0.45449,0.47271,0.36122,1.01941,1.72257,0.0175,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5742.18,1.08229,1.00551,0.01325,0.68229,0.40562,0.46616,0.35317,0.9903,1.79162,0.01704,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5908.72,1.08161,0.99045,0.01329,0.71074,0.42528,0.49423,0.38493,0.96305,1.74411,0.01649,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6075.69,1.06521,0.97387,0.01292,0.63544,0.49433,0.51266,0.39557,0.93702,1.61085,0.01558,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6242.66,1.05992,0.95909,0.01295,0.63593,0.45451,0.48419,0.37282,0.97797,1.82491,0.01686,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6409.59,1.05019,0.93999,0.01303,0.79055,0.38188,0.49725,0.39246,0.95932,1.93105,0.01616,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6576.57,1.04421,0.93609,0.01254,0.64669,0.49583,0.514,0.39739,0.98339,1.75044,0.01711,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6743.33,1.03057,0.90928,0.01251,0.63253,0.49338,0.50685,0.40227,1.00834,1.87834,0.01706,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
